model_type,stage,arch,k,lr,wd,asymmetric,n_runs,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_subspace_mean,test_subspace_std
digress,stage2c,gnn_v,16.0,0.0005,0.001,no,12.0,0.07445183334251244,0.02808728650031175,0.03758400306105614,0.10627800226211548,2.3097665707270303,0.599313437519188
digress,stage2c,gnn_all,16.0,0.0005,0.001,no,12.0,0.07454716600477695,0.028223762126991,0.03758400306105614,0.10627800226211548,2.305347124735514,0.5933837475381526
digress,stage2c,gnn_qk,16.0,0.0005,0.001,no,12.0,0.07454929997523625,0.028196279323353095,0.03758400306105614,0.10627800226211548,2.3037512799104056,0.5957090727404696
digress,stage2,digress_default,8.0,0.0005,0.01,no,12.0,0.07464436379571755,0.0282971933269756,0.03770879656076431,0.10982199758291245,2.2927432656288147,0.5903694738329347
digress,stage2c,digress_default,16.0,0.0005,0.001,no,12.0,0.07467123307287693,0.028420367653951163,0.03758400306105614,0.10666800290346146,2.307756692171097,0.5987129585094331
digress,stage2,digress_default,8.0,0.001,0.01,no,12.0,0.07469943103690942,0.02840489999299805,0.03768640011548996,0.10492599755525588,2.3082310358683267,0.6040013445257536
digress,stage2,digress_default,16.0,0.001,0.001,no,12.0,0.07471479816983144,0.028420550506237,0.037248000502586365,0.10645199567079544,2.3095249136288962,0.598374238618865
digress,stage2,digress_default,16.0,0.0005,0.001,no,12.0,0.07474376633763313,0.028397058051932527,0.03758400306105614,0.10666800290346146,2.3117211560408273,0.5986021208452239
digress,stage2c,gnn_all,16.0,0.001,0.01,no,12.0,0.07477419637143612,0.02866184374498348,0.03715519979596138,0.10683799535036088,2.3195239206155143,0.5991400134284711
digress,stage2,digress_default,16.0,0.001,0.01,no,12.0,0.07480032990376155,0.028676675878034366,0.03715519979596138,0.10683799535036088,2.317974100510279,0.6012454543337777
digress,stage2,digress_default,8.0,0.001,0.001,no,12.0,0.07485509912172954,0.028715926134672744,0.03727039694786072,0.1058019995689392,2.312652220328649,0.600819202135267
digress,stage2,digress_default,16.0,0.0005,0.01,no,12.0,0.0748633649200201,0.028336509776217905,0.03783999755978584,0.10936199873685835,2.315034866333008,0.5974851262183278
digress,stage2c,gnn_all,16.0,0.0005,0.01,no,12.0,0.0748878326267004,0.02846767261915031,0.03760639578104019,0.10657200217247008,2.31919202208519,0.6020148762425417
digress,stage2,digress_default,8.0,0.0005,0.001,no,12.0,0.07493359905978043,0.028734070000737258,0.03751039877533913,0.10983800143003464,2.3081310788790383,0.597762088805502
digress,stage2,digress_default,32.0,0.001,0.01,no,12.0,0.07502599712461233,0.02864064682980063,0.037539198994636536,0.1065559908747673,2.3210487564404807,0.5984047652769856
digress,stage2c,gnn_v,16.0,0.001,0.01,no,12.0,0.07505369558930397,0.02899267157107588,0.03715519979596138,0.11003199219703674,2.321452329556147,0.5973763027565127
digress,stage2c,gnn_v,32.0,0.0005,0.01,no,12.0,0.07508666378756364,0.02888636812371594,0.037139199674129486,0.10729799419641496,2.311660220225652,0.5945128692199104
digress,stage2c,gnn_all,32.0,0.001,0.01,no,12.0,0.07509053094933431,0.02852536483599092,0.038016002625226974,0.1065559908747673,2.3194324672222137,0.5988973331150869
digress,stage2c,gnn_v,16.0,0.0005,0.01,no,12.0,0.07509390047440927,0.028758278514163828,0.03760639578104019,0.10936199873685835,2.318242480357488,0.600143142484239
digress,stage2c,gnn_qk,16.0,0.001,0.001,no,12.0,0.07509839658935864,0.028883406829930926,0.03714879974722862,0.10946598649024963,2.318114697933197,0.5990270287349319
digress,stage2c,gnn_qk,16.0,0.0005,0.01,no,12.0,0.07512776615719001,0.028774068186962678,0.03760639578104019,0.10936199873685835,2.318489650885264,0.5988612756419611
