run_slug,run_id,display_name,config_name,wandb_project,wandb_url,dataset,variant,postfix,parent_run_id,parent_run_slug,continuation_type,launched_at_utc,ended_at_utc,final_state,final_step,health,notes
sbm_vignac_prefix_12s2b4a7,12s2b4a7,discrete_sbm_vignac_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260504T162100,discrete_sbm_vignac_repro,discrete-sbm-vignac-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-vignac-repro/runs/12s2b4a7,sbm,vignac,False,,,original,2026-05-04T16:23:46Z,2026-05-05T16:21:12Z,crashed,430119,invalidated_mask_bug,"Anchor for the SBM panel; ran 24h, crashed at Modal timeout."
sbm_vignac_spectral_prefix_e5pd9drt,e5pd9drt,discrete_sbm_vignac_spectral_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260505T212137,discrete_sbm_vignac_spectral_repro,discrete-sbm-vignac-spectral-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-vignac-spectral-repro/runs/e5pd9drt,sbm,vignac_spectral,False,,,original,2026-05-05T21:22:52Z,2026-05-06T12:54:24Z,crashed,96859,invalidated_mask_bug,Killed 2026-05-06 ~13:30 UTC during mask-bug cleanup.
sbm_pearl_prefix_s07qwx3b,s07qwx3b,discrete_sbm_pearl_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260504T213604,discrete_sbm_pearl_repro,discrete-sbm-pearl-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-pearl-repro/runs/s07qwx3b,sbm,pearl,False,,,original,2026-05-04T21:38:32Z,2026-05-05T21:36:10Z,crashed,513549,invalidated_mask_bug,Cleanest improvement signal pre-fix; orbit MMD ~0.10 vs vignac ~0.14.
sbm_pearl_spectral_prefix_jbraoj7o,jbraoj7o,discrete_sbm_pearl_spectral_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260504T214912,discrete_sbm_pearl_spectral_repro,discrete-sbm-pearl-spectral-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-pearl-spectral-repro/runs/jbraoj7o,sbm,pearl_spectral,False,,,original,2026-05-04T21:52:15Z,2026-05-05T21:49:10Z,crashed,402759,invalidated_mask_bug,Within noise of plain pearl pre-fix.
sbm_pearl_gnnconv_norm_prefix_rarihsee,rarihsee,discrete_sbm_pearl_gnnconv_norm_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260504T220515,discrete_sbm_pearl_gnnconv_norm_repro,discrete-sbm-pearl-gnnconv-norm-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-pearl-gnnconv-norm-repro/runs/rarihsee,sbm,pearl_gnnconv_norm,False,,,original,2026-05-04T22:09:26Z,2026-05-05T22:05:17Z,crashed,443079,elevated_grad,Elevated grad_norm (1.49) but converged.
sbm_pearl_gnnconv_raw_prefix_qao36vwu,qao36vwu,discrete_sbm_pearl_gnnconv_raw_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260504T220549,discrete_sbm_pearl_gnnconv_raw_repro,discrete-sbm-pearl-gnnconv-raw-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-pearl-gnnconv-raw-repro/runs/qao36vwu,sbm,pearl_gnnconv_raw,False,,,original,2026-05-04T22:10:01Z,2026-05-05T18:51:46Z,crashed,375639,blew_up,"grad_norm 2.4e18, lr Infinity. First of the unviable raw chain."
sbm_pearl_gnnconv_raw_prefix_g1g6xpx1,g1g6xpx1,discrete_sbm_pearl_gnnconv_raw_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260504T220549,discrete_sbm_pearl_gnnconv_raw_repro,discrete-sbm-pearl-gnnconv-raw-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-pearl-gnnconv-raw-repro/runs/g1g6xpx1,sbm,pearl_gnnconv_raw,False,qao36vwu,sbm_pearl_gnnconv_raw_prefix_qao36vwu,manual_resume_from_checkpoint,2026-05-05T18:56:08Z,2026-05-06T09:36:29Z,failed,271049,blew_up,Same blow-up signature; 14.7h until killed.
sbm_pearl_gnnconv_raw_prefix_uuifd9v3,uuifd9v3,discrete_sbm_pearl_gnnconv_raw_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260504T220549,discrete_sbm_pearl_gnnconv_raw_repro,discrete-sbm-pearl-gnnconv-raw-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-pearl-gnnconv-raw-repro/runs/uuifd9v3,sbm,pearl_gnnconv_raw,False,g1g6xpx1,sbm_pearl_gnnconv_raw_prefix_g1g6xpx1,auto_reassign_force_fresh,2026-05-06T09:40:38Z,2026-05-06T09:44:53Z,failed,0,blew_up,Modal auto-reassign 1/3; <10 min.
sbm_pearl_gnnconv_raw_prefix_bepjqwqz,bepjqwqz,discrete_sbm_pearl_gnnconv_raw_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260504T220549,discrete_sbm_pearl_gnnconv_raw_repro,discrete-sbm-pearl-gnnconv-raw-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-pearl-gnnconv-raw-repro/runs/bepjqwqz,sbm,pearl_gnnconv_raw,False,uuifd9v3,sbm_pearl_gnnconv_raw_prefix_uuifd9v3,auto_reassign_force_fresh,2026-05-06T09:46:49Z,2026-05-06T09:50:06Z,failed,339,blew_up,Modal auto-reassign 2/3; <10 min.
sbm_pearl_gnnconv_raw_prefix_g6y8ubfg,g6y8ubfg,discrete_sbm_pearl_gnnconv_raw_repro_DiffusionModule_dSpectreSBMDataModule_lr1e-3_wd1e-4_L8_s666_fresh_20260504T220549,discrete_sbm_pearl_gnnconv_raw_repro,discrete-sbm-pearl-gnnconv-raw-repro,https://wandb.ai/graph_denoise_team/discrete-sbm-pearl-gnnconv-raw-repro/runs/g6y8ubfg,sbm,pearl_gnnconv_raw,False,bepjqwqz,sbm_pearl_gnnconv_raw_prefix_bepjqwqz,auto_reassign_force_fresh,2026-05-06T09:52:33Z,2026-05-06T09:59:03Z,crashed,1219,blew_up,"Modal auto-reassign 3/3, chain ended via UI cancel."
